Vintage,Country,Designation,Points,Price,Province,Winery
2011,France,Cuvée Carolle,85,13 ,Southern France,Domaine de la Sauveuse
2011,France,Clos du Papillon,92,45 ,Northwestern France ,Domaine des Baumard
2011,Italy,Essentija,91,30 ,Southern Italy,Pala
2011,France,Château de Rully Cuvée R. de Ternay,89,30 ,Northeastern France ,Antonin Rodet
2011,France,Hauts Marconnets Premier Cru,88,45 ,Northeastern France ,Domaine Chanson
2011,Italy,Corona Majore,87,30 ,Southern Italy,Tenute Soletta
2011,Italy,Ferlingot,86,13 ,Northwestern Italy,Arbiola
2011,France,Edelzwicker,85,15 ,Northeastern France ,Wolfberger
2011,France,Les Dames Huguettes,87,20 ,Northeastern France ,Nuiton Beaunoy
2011,France,1753,89,15 ,Central France ,Château de Campuget
2011,France,Cuvée Prestige,88,40 ,Southern France,Château des Landes
2011,Italy,Castelgreve,89,20 ,Central Italy,Castelli del Grevepesa
2011,France,Château Terrebert,87,12 ,Southern France,Cave du Marmandais
2011,Italy,Asili Riserva,94,58 ,Northwestern Italy,Produttori del Barbaresco
2011,Italy,Torriglione,87,48 ,Northwestern Italy,Mario Gagliasso
2011,Italy,Foscarin Slavinus,88,30 ,Northeastern Italy,Monte Tondo
2011,Italy,del Comune di Barolo,92,90 ,Northwestern Italy,Marchesi di Barolo
2011,France,Baronne de Siaurac,90,15 ,Southern France,Château Siaurac
2011,France,Cuvée Particulière,84,15 ,Northeastern France ,Klipfel
2011,France,Réserve,88,18 ,Northeastern France ,Domaine Weinbach
2011,France,Les Rouelles,92,60 ,Central France ,Gilles Flacher
2011,Italy,Barilot,87,25 ,Northwestern Italy,Manzone
2011,France,Sur Gamay Premier Cru,91,42 ,Northeastern France ,Jean Claude Boisset
2011,Italy,Rubinoro,87,25 ,Central Italy,Vecchia Cantina di Montepulciano
2011,Italy,Eichhorn,89,32 ,Northeastern Italy,Manincor
2011,Italy,Basarin Vigna Gianmatè,86,55 ,Northwestern Italy,Giacosa Fratelli
2011,France,Laforet,85,13 ,Northeastern France ,Joseph Drouhin
2011,France,Clos Saint Désiré,90,40 ,Northeastern France ,Louis Latour
2011,Italy,Dogajolo,87,12 ,Central Italy,Carpineto
2011,France,Cuvée Engel,88,18 ,Northeastern France ,Domaine Fernand Engel
2011,Italy,Santa Maria,85,18 ,Central Italy,Marchesi de  Frescobaldi
2011,Italy,Nipozzano Riserva,90,28 ,Central Italy,Marchesi de  Frescobaldi
2011,Italy,Riserva,93,40 ,Central Italy,Castello di Verrazzano
2011,Italy,Triskelè,89,40 ,Southern Italy,Duca di Salaparuta
2011,Italy,Ventoso,85,9 ,Central Italy,Piazzano
2011,France,Hiver Gourmand,89,14 ,Central France ,Vignerons de Bel Air
2011,Italy,San Brizio,86,20 ,Northeastern Italy,La Cappuccina
2011,Italy,Sor Ugo,85,35 ,Central Italy,Aia Vecchia
2011,France,Cuvée Première,85,13 ,Southern France,Château Deffends
2011,Italy,Ambrosia Riserva,88,20 ,Central Italy,Vignamato
2011,France,Wild Boar,88,14 ,Southern France,Château Routas
2011,France,Petit Cantenac,86,45 ,Southern France,Clos Cantenac
2011,Italy,Poggio Verde,88,18 ,Central Italy,Principe Pallavicini
2011,Italy,Molamatta,88,23 ,Northeastern Italy,Marco Felluga
2011,Italy,Rocche di Castiglione,92,95 ,Northwestern Italy,Brovia
2011,Italy,Tenuta Belguardo,90,50 ,Central Italy,Mazzei
2011,Italy,Lavinia Maria,93,180 ,Central Italy,Tenuta Argentiera
2011,France,Si Noire,90,24 ,Southern France,Château Flotis
2011,France,Le Clé Saint Pierre,85,17 ,Northeastern France ,Mommessin
2011,France,Piaffer,87,27 ,Southern France,Domaine de Gensac
2011,Italy,Hero,88,24 ,Southern Italy,Selvanova
2011,Italy,Linticlarus Riserva,89,40 ,Northeastern Italy,Tiefenbrunner
2011,Italy,Massucchi,88,35 ,Northwestern Italy,Sordo
2011,Italy,RÃªverie,86,27 ,Northeastern Italy,Zymè
2011,Italy,Extra Brut Metodo Classico,90,49 ,Northwestern Italy,Fontanafredda
2011,Italy,Per Sempre,89,300 ,Central Italy,Tua Rita
2011,France,Praelatenberg Grand Cru,90,22 ,Northeastern France ,Domaine Allimant Laugner
2011,France,Furstentum Grand Cru,91,28 ,Northeastern France ,Cave de Kientzheim Kaysersberg
2011,Italy,Ceregio,86,15 ,Central Italy,Fattoria Zerbina
2011,France,Cuvée Gallus,85,10 ,Southern France,Château la France
2011,Italy,Basilica del Cortaccio,89,50 ,Central Italy,Cafaggio
